2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 23:13:17,851 - INFO - Ep 110: Reward=-2639.1, Steps=1096, MaxX=879, Flag=\u274c, \u03b5=0.100, Loss=302.5094, Q=-114.61
2025-12-21 23:23:13,367 - INFO - Ep 120: Reward=-39485.1, Steps=5000, MaxX=859, Flag=\u274c, \u03b5=0.100, Loss=322.0913, Q=-169.79
2025-12-21 23:27:07,468 - INFO - Ep 130: Reward=-158.5, Steps=5000, MaxX=695, Flag=\u274c, \u03b5=0.100, Loss=352.5621, Q=-230.82
2025-12-21 23:30:37,449 - INFO - Ep 140: Reward=-8307.1, Steps=5000, MaxX=709, Flag=\u274c, \u03b5=0.100, Loss=220.8455, Q=-228.42
2025-12-21 23:41:18,500 - INFO - Ep 150: Reward=-12310.8, Steps=5000, MaxX=712, Flag=\u274c, \u03b5=0.100, Loss=121.2264, Q=-201.47
2025-12-21 23:47:21,631 - INFO - Ep 160: Reward=-31552.0, Steps=5000, MaxX=710, Flag=\u274c, \u03b5=0.100, Loss=98.5234, Q=-194.36
2025-12-21 23:54:10,769 - INFO - Ep 170: Reward=-73123.3, Steps=5000, MaxX=717, Flag=\u274c, \u03b5=0.100, Loss=122.8106, Q=-203.46
2025-12-22 00:05:38,312 - INFO - Ep 180: Reward=-2237.5, Steps=5000, MaxX=705, Flag=\u274c, \u03b5=0.100, Loss=133.8321, Q=-169.30
2025-12-22 00:13:25,433 - INFO - Ep 190: Reward=-6464.2, Steps=5000, MaxX=688, Flag=\u274c, \u03b5=0.100, Loss=87.0573, Q=-102.90
2025-12-22 00:18:21,126 - INFO - Ep 200: Reward=-5205.6, Steps=5000, MaxX=674, Flag=\u274c, \u03b5=0.100, Loss=107.5003, Q=-79.03
2025-12-22 00:22:25,371 - INFO - Ep 210: Reward=-2103.7, Steps=5000, MaxX=723, Flag=\u274c, \u03b5=0.100, Loss=115.3445, Q=-89.82
2025-12-22 00:26:18,982 - INFO - Ep 220: Reward=-14586.8, Steps=5000, MaxX=692, Flag=\u274c, \u03b5=0.100, Loss=331.9032, Q=-138.80
2025-12-22 00:30:52,145 - INFO - Ep 230: Reward=-641.7, Steps=5000, MaxX=693, Flag=\u274c, \u03b5=0.100, Loss=234.4503, Q=-121.22
2025-12-22 00:34:25,447 - INFO - Ep 240: Reward=-1111.7, Steps=5000, MaxX=703, Flag=\u274c, \u03b5=0.100, Loss=157.3847, Q=-80.65
2025-12-22 00:37:53,043 - INFO - Ep 250: Reward=-12141.8, Steps=5000, MaxX=722, Flag=\u274c, \u03b5=0.100, Loss=156.8043, Q=-113.37
2025-12-22 00:41:42,166 - INFO - Ep 260: Reward=-3700.6, Steps=5000, MaxX=714, Flag=\u274c, \u03b5=0.100, Loss=197.8562, Q=-143.91
2025-12-22 00:45:31,532 - INFO - Ep 270: Reward=-12513.8, Steps=5000, MaxX=722, Flag=\u274c, \u03b5=0.100, Loss=95.6052, Q=-60.83
